time,samples
6.4063897132873535, 268
12.939478158950806, 536
19.589377880096436, 804
26.352513790130615, 1072
33.149951696395874, 1340
39.987067222595215, 1608
46.83689594268799, 1876
53.68558883666992, 2144
60.61564230918884, 2412
67.55112600326538, 2680
74.54276251792908, 2948
81.52673411369324, 3216
88.47641372680664, 3484
95.44383907318115, 3752
102.41124725341797, 4020
109.49147820472717, 4288
116.44043254852295, 4556
123.43938970565796, 4824
130.47419118881226, 5092
137.45383644104004, 5360
144.48386406898499, 5628
151.50920963287354, 5896
158.55885863304138, 6164
165.5532398223877, 6432
172.62593293190002, 6700
179.6563160419464, 6968
186.6957724094391, 7236
193.8185374736786, 7504
200.9527449607849, 7772
200.9527449607849
